analyze-counts --verbose=1 --binary=false 'ark:ali-to-pdf exp/tri/final.mdl ark:exp/tri/train.ali ark:- |' exp/mlp/ali_train_pdf.counts 
ali-to-pdf exp/tri/final.mdl ark:exp/tri/train.ali ark:- 
LOG (ali-to-pdf[5.3.57~1-6f9f]:main():ali-to-pdf.cc:68) Converted 4000 alignments to pdf sequences.
LOG (analyze-counts[5.3.57~1-6f9f]:main():analyze-counts.cc:191) Printing...
### The sorted count table,
count	(norm),	id	(symbol):
249	(0.000191857),	1150	
250	(0.000192628),	1193	
250	(0.000192628),	1571	
251	(0.000193398),	43	
251	(0.000193398),	103	
251	(0.000193398),	216	
251	(0.000193398),	990	
251	(0.000193398),	1343	
252	(0.000194169),	173	
252	(0.000194169),	656	
252	(0.000194169),	1233	
252	(0.000194169),	1495	
253	(0.000194939),	34	
253	(0.000194939),	313	
253	(0.000194939),	1211	
253	(0.000194939),	1261	
254	(0.00019571),	1425	
255	(0.00019648),	765	
255	(0.00019648),	983	
255	(0.00019648),	1533	
256	(0.000197251),	1170	
256	(0.000197251),	1374	
257	(0.000198021),	323	
257	(0.000198021),	407	
257	(0.000198021),	465	
257	(0.000198021),	717	
258	(0.000198792),	532	
258	(0.000198792),	691	
258	(0.000198792),	712	
258	(0.000198792),	815	
258	(0.000198792),	977	
258	(0.000198792),	1311	
259	(0.000199562),	1455	
259	(0.000199562),	1509	
260	(0.000200333),	643	
260	(0.000200333),	1025	
260	(0.000200333),	1049	
261	(0.000201103),	766	
261	(0.000201103),	1463	
262	(0.000201874),	81	
262	(0.000201874),	246	
262	(0.000201874),	1319	
263	(0.000202644),	99	
263	(0.000202644),	145	
263	(0.000202644),	360	
263	(0.000202644),	601	
264	(0.000203415),	426	
264	(0.000203415),	880	
264	(0.000203415),	905	
265	(0.000204185),	73	
265	(0.000204185),	101	
265	(0.000204185),	1616	
266	(0.000204956),	1210	
267	(0.000205726),	917	
267	(0.000205726),	1237	
268	(0.000206497),	22	
268	(0.000206497),	1437	
269	(0.000207267),	529	
269	(0.000207267),	699	
269	(0.000207267),	1127	
269	(0.000207267),	1390	
270	(0.000208038),	287	
270	(0.000208038),	770	
270	(0.000208038),	1032	
271	(0.000208808),	366	
272	(0.000209579),	75	
272	(0.000209579),	406	
272	(0.000209579),	570	
272	(0.000209579),	1086	
272	(0.000209579),	1132	
272	(0.000209579),	1190	
273	(0.00021035),	998	
273	(0.00021035),	1041	
273	(0.00021035),	1253	
